"Day","Jan.","Feb.","Mar.","Apr.","May","June","July","Aug.","Sep.","Oct.","Nov.","Dec."
"01","0.82","0.92","0.81","0.89","0.91","0.97","0.98","0.99","0.93","0.88","0.75","0.72"
"02","0.90","0.96","0.88","0.94","0.96","0.99","1.00","0.97","0.85","0.79","0.65","0.63"
"03","0.95","0.99","0.93","0.98","0.99","1.00","0.99","0.91","0.76","0.70","0.55","0.53"
"04","0.98","1.00","0.97","1.00","1.00","0.98","0.95","0.83","0.66","0.59","0.45","0.44"
"05","1.00","0.99","0.99","1.00","0.99","0.94","0.89","0.73","0.55","0.49","0.36","0.35"
"06","0.99","0.96","1.00","0.98","0.96","0.87","0.81","0.62","0.44","0.39","0.27","0.26"
"07","0.97","0.92","0.99","0.94","0.91","0.79","0.71","0.51","0.34","0.29","0.19","0.18"
"08","0.93","0.86","0.96","0.89","0.85","0.69","0.60","0.40","0.24","0.21","0.12","0.11"
"09","0.87","0.79","0.91","0.81","0.76","0.58","0.48","0.30","0.16","0.14","0.07","0.06"
"10","0.80","0.71","0.85","0.73","0.66","0.46","0.37","0.21","0.10","0.08","0.03","0.02"
"11","0.72","0.62","0.77","0.63","0.55","0.35","0.27","0.13","0.05","0.04","0.01","0.00"
"12","0.63","0.52","0.68","0.52","0.44","0.24","0.18","0.07","0.02","0.01","0.00","0.01"
"13","0.54","0.41","0.58","0.41","0.33","0.15","0.10","0.03","0.00","0.00","0.02","0.03"
"14","0.44","0.31","0.47","0.30","0.22","0.08","0.05","0.00","0.00","0.01","0.05","0.07"
"15","0.35","0.22","0.37","0.20","0.13","0.03","0.01","0.00","0.03","0.04","0.11","0.14"
"16","0.25","0.13","0.26","0.11","0.06","0.01","0.00","0.02","0.07","0.08","0.18","0.22"
"17","0.16","0.06","0.17","0.05","0.02","0.00","0.01","0.05","0.12","0.14","0.26","0.32"
"18","0.09","0.02","0.09","0.01","0.00","0.02","0.04","0.10","0.19","0.22","0.36","0.43"
"19","0.04","0.00","0.03","0.00","0.01","0.07","0.08","0.17","0.27","0.31","0.47","0.54"
"20","0.01","0.02","0.00","0.02","0.04","0.12","0.14","0.24","0.36","0.41","0.58","0.65"
"21","0.00","0.06","0.01","0.07","0.10","0.19","0.22","0.33","0.46","0.52","0.69","0.76"
"22","0.03","0.13","0.04","0.13","0.17","0.28","0.30","0.42","0.57","0.63","0.79","0.85"
"23","0.09","0.22","0.10","0.22","0.25","0.36","0.39","0.52","0.67","0.73","0.88","0.92"
"24","0.17","0.32","0.17","0.31","0.34","0.46","0.48","0.62","0.77","0.83","0.95","0.97"
"25","0.26","0.43","0.27","0.40","0.43","0.55","0.58","0.72","0.86","0.91","0.99","1.00"
"26","0.37","0.53","0.37","0.50","0.53","0.65","0.68","0.81","0.93","0.97","1.00","0.99"
"27","0.48","0.63","0.47","0.60","0.62","0.74","0.77","0.89","0.98","1.00","0.98","0.97"
"28","0.59","0.73","0.57","0.69","0.71","0.82","0.85","0.95","1.00","1.00","0.94","0.93"
"29","0.69","","0.66","0.77","0.79","0.89","0.92","0.99","0.99","0.97","0.88","0.86"
"30","0.78","","0.75","0.85","0.87","0.95","0.97","1.00","0.95","0.91","0.81","0.79"
"31","0.86","","0.83","","0.92","","1.00","0.98","","0.84","","0.71"
